Netherlands,AMSTERDAM,
Andorra,ANDORRA LA VELLA,
Turkey,ANKARA,
Greece,ATHENS,
Northen Ireland,BELFAST,
Serbia,BELGRADE,
Germany,BERLIN,
Switzerland,BERN,
Slovakia,BRATISLAVIA,
Belgium,BRUSSELS,
Romania,BUCHAREST,
Hungary,BUDAPEST,
Wales,CARDIFF,
Moldova,CHIŞINĂU,
Denmark,COPENHAGEN,
Isle of Man,DOUGLAS,
Ireland,DUBLIN,
Palestine,EAST JERUSALEM,
Scotland,EDINBURGH,
Akotiri & Dhekelia,EPISKOPI CATONMENT,
Gibralta,GIBRALTA,
Finland,HELSINKI,
Israel,JERUSALEM,
Ukraine,KIEV,
Portugal,LISBON,
Slovenia,LJUBLJANA,
England/UK,LONDON,
Luxembourg,LUXEMBOURG CITY,
Spain,MADRID,
Belarus,MINSK,
Monaco,MONACO,
Cyprus,NICOSIA,
Greenland,NUUK,
Norway,OSLO,
France,PARIS,
Montenegro,PODGORICA,
Czech Republic,PRAGUE,
Kosovo,PRISTINA,
Iceland,REYKJAVIK,
Latvia,RIGA,
Italy,ROME,
San Marino,SAN MARINO,
Bosnia & Herzegovina,SARAJEVO,
Macedonia,SKOPJE,
Bulgaria,SOFIA,
Jersey,ST HELLIER,
Guernsey,ST PETER PORT,
Sweden,STOCKHOLM,
Estonia,TALLINN,
Albania,TIRANA,
Iran,TEHRAN,
Transnistria,TIRASAPOL,
Faroe Islands,TORSHAVN,
Lichtenstein,VADUZ,
Malta,VALETTA,
Vatican City,VATICAN CITY,
Austria,VIENNA,
Lithuania,VILNIUS,
Poland,WARSAW,
Croatia,ZAGREB,
United Arab Emirates,ABU DHABI,
Jordan,AMMAN,
Turkmenistan,ASHGABAT,
Kazakhstan,ASTANA,
Iraq,BAGHDAD,
Azerbaijan,BAKU,
Brunei,BANDAR SERI BEGAWAN,
Thailand,BANGKOK,
China,BEIJING,
Lebanon,BEIRUT,
Krygyzstan,BISHKEK,
Syria,DAMASCUS,
Bangladesh,DHAKA,
East Timor,DILI,
Qatar,DOHA,
Tajikstan,DUSHANBE,
Vietnam,HANOI,
Pakistan,ISLAMABAD,
Indonesia,JAKARTA,
Afgahnistan,KABUL,
Nepal,KATHMANDU,
Malaysia,KUALAR LUMPAR - PUTRAJAYA,PUTRAJAYA
Kuwait,KUWAIT CITY,
Maldives,MALE,
Bahrain,MANAMA,
Philippines,MANILA,
Somalia,MOGADISHU,
Russia,MOSCOW,
Oman,MUSKAT,
Burka (Union of Myanmar),NAPYIDAW,
India,NEW DELHI,
Cambodia,PHNOM PENH,
North Korea,PYONGYANG,
Saudi Arabia,RIYADH,
Yemen,SANAA,
South Korea,SEOUL,
